origin_id,destination_id,leg_order,kind,from_stop,to_stop,trip_id,start_seconds,end_seconds,parent_kind
13121001001::polygon::2,osm-way-270494114,0,access_walk,,907913,,28800.0,29124.993826452905,
13121001001::polygon::2,osm-way-270494114,1,ride,907913,908911,11750659,29160.0,29220.0,direct
13121001001::polygon::2,osm-way-270494114,2,ride,908911,907842,11750659,29220.0,29280.0,direct
13121001001::polygon::2,osm-way-270494114,3,ride,907842,908976,11750659,29280.0,29400.0,direct
13121001001::polygon::2,osm-way-270494114,4,transfer_walk,908976,500200,,29400.0,29456.028795355713,
13121001001::polygon::2,osm-way-270494114,5,ride,500200,103134,11698263,29582.0,29644.0,walking
13121001001::polygon::2,osm-way-270494114,6,ride,103134,102228,11698263,29644.0,29676.0,direct
13121001001::polygon::2,osm-way-270494114,7,ride,102228,103138,11698263,29676.0,29695.0,direct
13121001001::polygon::2,osm-way-270494114,8,ride,103138,102282,11698263,29695.0,29721.0,direct
13121001001::polygon::2,osm-way-270494114,9,ride,102282,210555,11782241,29783.0,29817.0,direct
13121001001::polygon::2,osm-way-270494114,10,ride,210555,213732,11782241,29817.0,29862.0,direct
13121001001::polygon::2,osm-way-270494114,11,egress_walk,213732,,,29862.0,30335.996774823394,
13121001002::polygon::2,osm-way-252608923,0,access_walk,,904668,,28800.0,29392.546034050807,
13121001002::polygon::2,osm-way-252608923,1,ride,904668,905019,11698798,29484.0,29523.0,direct
13121001002::polygon::2,osm-way-252608923,2,ride,905019,905017,11698798,29523.0,29558.0,direct
13121001002::polygon::2,osm-way-252608923,3,ride,905017,904287,11698798,29558.0,29602.0,direct
13121001002::polygon::2,osm-way-252608923,4,ride,904287,904286,11698798,29602.0,29628.0,direct
13121001002::polygon::2,osm-way-252608923,5,ride,904286,904349,11698798,29628.0,29689.0,direct
13121001002::polygon::2,osm-way-252608923,6,ride,904349,214116,11698798,29689.0,29760.0,direct
13121001002::polygon::2,osm-way-252608923,7,transfer_walk,214116,908374,,29760.0,29779.228099161548,
13121001002::polygon::2,osm-way-252608923,8,ride,908374,907913,11748333,30000.0,30060.0,walking
13121001002::polygon::2,osm-way-252608923,9,ride,907913,908911,11748333,30060.0,30120.0,direct
13121001002::polygon::2,osm-way-252608923,10,ride,908911,907842,11748333,30120.0,30180.0,direct
13121001002::polygon::2,osm-way-252608923,11,egress_walk,907842,,,30180.0,30515.078613507747,
13121001102::polygon::1,osm-node-4237695952,0,access_walk,,908375,,28800.0,29061.345774503356,
13121001102::polygon::1,osm-node-4237695952,1,transfer_walk,908375,908374,,29061.345774503356,29070.384779986587,
13121001102::polygon::1,osm-node-4237695952,2,ride,908374,907913,11748332,29400.0,29460.0,walking
13121001102::polygon::1,osm-node-4237695952,3,ride,907913,908911,11748332,29460.0,29520.0,direct
13121001102::polygon::1,osm-node-4237695952,4,ride,908911,907842,11748332,29520.0,29580.0,direct
13121001102::polygon::1,osm-node-4237695952,5,ride,907842,908976,11748332,29580.0,29700.0,direct
13121001102::polygon::1,osm-node-4237695952,6,ride,908976,907843,11748332,29700.0,29820.0,direct
13121001102::polygon::1,osm-node-4237695952,7,egress_walk,907843,,,29820.0,30119.19740322068,
13121012000::polygon::0,osm-way-269999028,0,access_walk,,102546,,28800.0,29010.466261573703,
13121012000::polygon::0,osm-way-269999028,1,ride,102546,213760,11710363,29122.0,29235.0,direct
13121012000::polygon::0,osm-way-269999028,2,ride,213760,500211,11710363,29235.0,29360.0,direct
13121012000::polygon::0,osm-way-269999028,3,ride,500211,210555,11710363,29360.0,29413.0,direct
13121012000::polygon::0,osm-way-269999028,4,ride,210555,214361,11708670,29889.0,29994.0,direct
13121012000::polygon::0,osm-way-269999028,5,ride,214361,214362,11708670,29994.0,30075.0,direct
13121012000::polygon::0,osm-way-269999028,6,ride,214362,214363,11708670,30075.0,30126.0,direct
13121012000::polygon::0,osm-way-269999028,7,ride,214363,901148,11708670,30126.0,30252.0,direct
13121012000::polygon::0,osm-way-269999028,8,ride,901148,900689,11708670,30252.0,30322.0,direct
13121012000::polygon::0,osm-way-269999028,9,ride,900689,900690,11708670,30322.0,30387.0,direct
13121012000::polygon::0,osm-way-269999028,10,ride,900690,600055,11708670,30387.0,30421.0,direct
13121012000::polygon::0,osm-way-269999028,11,egress_walk,600055,,,30421.0,30528.70977913984,
13089020300::polygon::3,osm-node-358780362,0,access_walk,,908566,,28800.0,29999.6931504693,
13089020300::polygon::3,osm-node-358780362,1,ride,908566,908700,11747041,30480.0,30660.0,direct
13089020300::polygon::3,osm-node-358780362,2,transfer_walk,908700,904988,,30660.0,30826.015071072816,
13089020300::polygon::3,osm-node-358780362,3,ride,904988,213998,11700833,30987.0,31031.0,walking
13089020300::polygon::3,osm-node-358780362,4,ride,213998,213995,11700833,31031.0,31080.0,direct
13089020300::polygon::3,osm-node-358780362,5,ride,213995,212904,11700833,31080.0,31127.0,direct
13089020300::polygon::3,osm-node-358780362,6,ride,212904,904744,11700833,31127.0,31192.0,direct
13089020300::polygon::3,osm-node-358780362,7,ride,904744,904861,11700833,31192.0,31232.0,direct
13089020300::polygon::3,osm-node-358780362,8,ride,904861,905101,11700833,31232.0,31275.0,direct
