case_number,origin_id,origin_lat,origin_lon,destination_id,label,category,destination_lat,destination_lon,travel_time_minutes,model_time_band,planner_url,planner_minutes,planner_no_route,planner_itinerary_notes,reviewer,reviewed_at,validation_split,departure_seconds,arrival_seconds,reachable,absolute_difference_minutes
3,13121001001::polygon::2,33.77339846755619,-84.38938143873165,osm-way-270494114,Atlanta Fire Rescue Department - Station 4,fire_station,33.7539213,-84.3777195,25.6,00_30_minutes,https://itsmarta.com/ride/planner?from=33.77339846755619%2C-84.38938143873165%3A%3A33.77339846755619%2C-84.38938143873165&to=33.7539213%2C-84.3777195%3A%3A33.7539213%2C-84.3777195&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,33.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,30336.0,True,7.399999999999999
0,13121001002::polygon::2,33.77952119631657,-84.40895610905697,osm-way-252608923,34 Peachtree,clinic,33.7549618,-84.389653,28.583333333333332,00_30_minutes,https://itsmarta.com/ride/planner?from=33.77952119631657%2C-84.40895610905697%3A%3A33.77952119631657%2C-84.40895610905697&to=33.7549618%2C-84.389653%3A%3A33.7549618%2C-84.389653&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,31.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,30515.0,True,2.416666666666668
2,13121001102::polygon::1,33.78324444415559,-84.3851906541427,osm-node-4237695952,Gateway Center,shelter,33.7476109,-84.3945527,21.983333333333334,00_30_minutes,https://itsmarta.com/ride/planner?from=33.78324444415559%2C-84.3851906541427%3A%3A33.78324444415559%2C-84.3851906541427&to=33.7476109%2C-84.3945527%3A%3A33.7476109%2C-84.3945527&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,24.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,30119.0,True,2.0166666666666657
1,13121012000::polygon::0,33.7416047789351,-84.39335442582549,osm-way-269999028,Community Friendship Incorporated,shelter,33.7684022,-84.3845982,28.816666666666663,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7416047789351%2C-84.39335442582549%3A%3A33.7416047789351%2C-84.39335442582549&to=33.7684022%2C-84.3845982%3A%3A33.7684022%2C-84.3845982&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,25.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,30529.0,True,3.816666666666663
5,13089020300::polygon::3,33.76689850554255,-84.32579291366586,osm-node-358780362,Center for Rehabilitation Medicine,clinic,33.7949415,-84.320485,54.0224554963208,31_60_minutes,https://itsmarta.com/ride/planner?from=33.76689850554255%2C-84.32579291366586%3A%3A33.76689850554255%2C-84.32579291366586&to=33.7949415%2C-84.320485%3A%3A33.7949415%2C-84.320485&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,59.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,32041.347329779248,True,4.977544503679198
7,13089021415::polygon::4,33.84463002168763,-84.33979169147835,osm-way-886340463,The Atlanta Mission,shelter,33.7648727,-84.3922372,39.4,31_60_minutes,https://itsmarta.com/ride/planner?from=33.84463002168763%2C-84.33979169147835%3A%3A33.84463002168763%2C-84.33979169147835&to=33.7648727%2C-84.3922372%3A%3A33.7648727%2C-84.3922372&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,43.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,31164.0,True,3.6000000000000014
4,13089022601::polygon::1,33.78742056553351,-84.30191310792937,osm-node-12776430676,Passport Health Downtown Atlanta Travel Clinic,clinic,33.7568109,-84.3921585,48.266666666666666,31_60_minutes,https://itsmarta.com/ride/planner?from=33.78742056553351%2C-84.30191310792937%3A%3A33.78742056553351%2C-84.30191310792937&to=33.7568109%2C-84.3921585%3A%3A33.7568109%2C-84.3921585&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,39.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,31696.0,True,9.266666666666666
6,13089023801::polygon::0,33.728700812628766,-84.34215915678817,osm-node-367913254,DeKalb County Fire Rescue - Station 26,fire_station,33.7321852,-84.2866733,52.18333333333333,31_60_minutes,https://itsmarta.com/ride/planner?from=33.728700812628766%2C-84.34215915678817%3A%3A33.728700812628766%2C-84.34215915678817&to=33.7321852%2C-84.2866733%3A%3A33.7321852%2C-84.2866733&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,48.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,31931.0,True,4.18333333333333
9,13089023803::polygon::0,33.6983592027164,-84.31023926073206,osm-node-367913320,Atlanta Fire Rescue Department - Training Center,fire_station,33.7057352,-84.4026255,85.83333333333333,61_90_minutes,https://itsmarta.com/ride/planner?from=33.6983592027164%2C-84.31023926073206%3A%3A33.6983592027164%2C-84.31023926073206&to=33.7057352%2C-84.4026255%3A%3A33.7057352%2C-84.4026255&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,75.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,33950.0,True,10.833333333333329
8,13121006900::polygon::4,33.71874020343698,-84.35721005974467,osm-node-367913209,Atlanta Fire Rescue Department - Fire Station 8,fire_station,33.8021266,-84.4356801,84.55,61_90_minutes,https://itsmarta.com/ride/planner?from=33.71874020343698%2C-84.35721005974467%3A%3A33.71874020343698%2C-84.35721005974467&to=33.8021266%2C-84.4356801%3A%3A33.8021266%2C-84.4356801&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,83.0,False,First displayed public planner itinerary,MARTA public trip planner,2026-09-09T19:01:49.774803+00:00,proxy_calibration,28800,33873.0,True,1.5499999999999972
