case_number,origin_id,origin_lat,origin_lon,destination_id,label,category,destination_lat,destination_lon,travel_time_minutes,model_time_band,planner_url,planner_minutes,planner_no_route,planner_itinerary_notes,reviewer,reviewed_at,validation_split,absolute_difference_minutes
3,13121001001::east,33.7828223,-84.38728346249347,osm-way-348402902,Gateway Center,shelter,33.7476293,-84.3945414,21.983333333333334,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7828223%2C-84.38728346249347%3A%3A33.7828223%2C-84.38728346249347&to=33.7476293%2C-84.3945414%3A%3A33.7476293%2C-84.3945414&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,23,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,1.0166666666666657
2,13121001206::west,33.7795463,-84.38633042005574,osm-way-252608923,34 Peachtree,clinic,33.7549618,-84.389653,18.583333333333332,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7795463%2C-84.38633042005574%3A%3A33.7795463%2C-84.38633042005574&to=33.7549618%2C-84.389653%3A%3A33.7549618%2C-84.389653&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,17,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,1.5833333333333321
0,13121002801::north,33.761062071743325,-84.3785002,osm-node-13019491858,Northside Medical Family Medicine and Urgent Care,clinic,33.7856343,-84.3880147,29.933333333333337,00_30_minutes,https://itsmarta.com/ride/planner?from=33.761062071743325%2C-84.3785002%3A%3A33.761062071743325%2C-84.3785002&to=33.7856343%2C-84.3880147%3A%3A33.7856343%2C-84.3880147&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,32,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,2.066666666666663
1,13121005300::west,33.7321403,-84.37543574461286,osm-way-270880929,Odyssey III,shelter,33.7499558,-84.3808045,19.5,00_30_minutes,https://itsmarta.com/ride/planner?from=33.7321403%2C-84.37543574461286%3A%3A33.7321403%2C-84.37543574461286&to=33.7499558%2C-84.3808045%3A%3A33.7499558%2C-84.3808045&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,14,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,5.5
5,13121000601::west,33.7833623,-84.41034716036006,osm-way-494884355,Egleston Hospital,hospital,33.793853,-84.319874,49.333333333333336,31_60_minutes,https://itsmarta.com/ride/planner?from=33.7833623%2C-84.41034716036006%3A%3A33.7833623%2C-84.41034716036006&to=33.793853%2C-84.319874%3A%3A33.793853%2C-84.319874&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,48,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,1.3333333333333357
6,13121001206::centroid,33.7795463,-84.3849538,osm-node-358780376,Wesley Woods Health Center,clinic,33.8046363,-84.3292013,41.13333333333333,31_60_minutes,https://itsmarta.com/ride/planner?from=33.7795463%2C-84.3849538%3A%3A33.7795463%2C-84.3849538&to=33.8046363%2C-84.3292013%3A%3A33.8046363%2C-84.3292013&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,41,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,0.13333333333333286
7,13121003000::east,33.758758,-84.3538937888032,osm-node-367913244,Atlanta Fire Rescue Department - Fire Station 30,fire_station,33.6807202,-84.389375,55.95,31_60_minutes,https://itsmarta.com/ride/planner?from=33.758758%2C-84.3538937888032%3A%3A33.758758%2C-84.3538937888032&to=33.6807202%2C-84.389375%3A%3A33.6807202%2C-84.389375&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,51,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,4.950000000000003
4,13121008701::centroid,33.7999736,-84.4727831,osm-way-234732964,Atlanta Fire Rescue Department - Station 15,fire_station,33.7821416,-84.3817441,59.233333333333334,31_60_minutes,https://itsmarta.com/ride/planner?from=33.7999736%2C-84.4727831%3A%3A33.7999736%2C-84.4727831&to=33.7821416%2C-84.3817441%3A%3A33.7821416%2C-84.3817441&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,56,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,3.2333333333333343
8,13089023803::north,33.712669839393975,-84.3119759,osm-node-13019491858,Northside Medical Family Medicine and Urgent Care,clinic,33.7856343,-84.3880147,64.93333333333334,61_90_minutes,https://itsmarta.com/ride/planner?from=33.712669839393975%2C-84.3119759%3A%3A33.712669839393975%2C-84.3119759&to=33.7856343%2C-84.3880147%3A%3A33.7856343%2C-84.3880147&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,50,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,14.933333333333337
11,13121000501::centroid,33.7920657,-84.3932073,osm-node-11874720088,Piedmont Urgent Care,clinic,33.7940042,-84.2905522,78.2,61_90_minutes,https://itsmarta.com/ride/planner?from=33.7920657%2C-84.3932073%3A%3A33.7920657%2C-84.3932073&to=33.7940042%2C-84.2905522%3A%3A33.7940042%2C-84.2905522&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,75,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,3.200000000000003
9,13121005200::south,33.731682985588854,-84.3544764,osm-node-13062596546,Buckhead Primary and Urgent Care Clinic,clinic,33.8067694,-84.4125927,83.1,61_90_minutes,https://itsmarta.com/ride/planner?from=33.731682985588854%2C-84.3544764%3A%3A33.731682985588854%2C-84.3544764&to=33.8067694%2C-84.4125927%3A%3A33.8067694%2C-84.4125927&depArr=DEPART_AT&date=2026-09-14&time=08%3A00&results=true,81,False,First itinerary shown by MARTA Rider Tools; timestamped URL query.,Automated public MARTA Rider Tools review,2026-09-09T00:00:00+00:00,proxy_calibration,2.0999999999999943
